0,1,Exist,Pred,True,Labels
1313,31547,left_only,1,,Pred
1325,1773,left_only,1,,Pred
1344,28235,left_only,1,,Pred
1349,7783,left_only,1,,Pred
1349,25455,left_only,1,,Pred
1350,26528,left_only,1,,Pred
1355,26236,left_only,1,,Pred
1359,17768,left_only,1,,Pred
1386,31886,left_only,1,,Pred
1387,840,left_only,1,,Pred
1397,14086,left_only,1,,Pred
1406,19649,left_only,1,,Pred
1412,27443,left_only,1,,Pred
1425,15019,left_only,1,,Pred
1447,12002,left_only,1,,Pred
1449,17677,left_only,1,,Pred
1457,7059,left_only,1,,Pred
1463,28106,left_only,1,,Pred
1464,28735,left_only,1,,Pred
1470,30770,left_only,1,,Pred
1471,26505,left_only,1,,Pred
1473,9500,left_only,1,,Pred
1478,18278,left_only,1,,Pred
1479,13248,left_only,1,,Pred
1485,15256,left_only,1,,Pred
1485,26984,left_only,1,,Pred
1500,6287,left_only,1,,Pred
1506,32445,left_only,1,,Pred
1522,11815,left_only,1,,Pred
1530,30109,left_only,1,,Pred
1533,32715,left_only,1,,Pred
1541,15111,left_only,1,,Pred
1549,23157,left_only,1,,Pred
1560,21203,left_only,1,,Pred
1563,3201,left_only,1,,Pred
1590,29155,left_only,1,,Pred
1595,17127,left_only,1,,Pred
1596,19675,left_only,1,,Pred
1611,2460,left_only,1,,Pred
1611,22295,left_only,1,,Pred
1616,2889,left_only,1,,Pred
1621,12239,left_only,1,,Pred
1622,3170,left_only,1,,Pred
1653,16922,left_only,1,,Pred
1713,11965,left_only,1,,Pred
1721,16285,left_only,1,,Pred
1723,19037,left_only,1,,Pred
1724,22214,left_only,1,,Pred
1728,13412,left_only,1,,Pred
1731,46,left_only,1,,Pred
1734,7519,left_only,1,,Pred
1735,26220,left_only,1,,Pred
1743,34772,left_only,1,,Pred
1752,4447,left_only,1,,Pred
1753,4222,left_only,1,,Pred
1760,21979,left_only,1,,Pred
1761,5490,left_only,1,,Pred
1761,14992,left_only,1,,Pred
1763,14874,left_only,1,,Pred
1774,33481,left_only,1,,Pred
1778,24176,left_only,1,,Pred
1778,25451,left_only,1,,Pred
1780,6377,left_only,1,,Pred
1785,1052,left_only,1,,Pred
1797,2216,left_only,1,,Pred
1818,18081,left_only,1,,Pred
1819,16711,left_only,1,,Pred
1822,3010,left_only,1,,Pred
1822,15261,left_only,1,,Pred
1840,19037,left_only,1,,Pred
1843,26323,both,1,1,Both
1843,34898,both,1,1,Both
1846,8350,left_only,1,,Pred
1864,10097,left_only,1,,Pred
1871,14021,left_only,1,,Pred
1876,33593,left_only,1,,Pred
1882,1120,left_only,1,,Pred
1883,33993,left_only,1,,Pred
1894,25583,left_only,1,,Pred
1896,30369,left_only,1,,Pred
1898,9591,left_only,1,,Pred
1898,23270,left_only,1,,Pred
1908,12927,left_only,1,,Pred
1913,15293,left_only,1,,Pred
1915,3775,left_only,1,,Pred
1915,16786,left_only,1,,Pred
1919,19517,left_only,1,,Pred
1920,10253,left_only,1,,Pred
1920,13177,left_only,1,,Pred
1927,20607,both,1,1,Both
1930,17398,left_only,1,,Pred
1936,454,left_only,1,,Pred
1937,25292,left_only,1,,Pred
1948,14311,left_only,1,,Pred
1949,1170,left_only,1,,Pred
1975,1366,left_only,1,,Pred
1975,32490,left_only,1,,Pred
2001,34745,left_only,1,,Pred
2004,18266,left_only,1,,Pred
2013,10602,left_only,1,,Pred
2021,4149,left_only,1,,Pred
2026,16677,left_only,1,,Pred
2026,31556,left_only,1,,Pred
2027,30837,both,1,1,Both
2063,17621,left_only,1,,Pred
2067,1920,left_only,1,,Pred
2068,12136,left_only,1,,Pred
2073,23012,left_only,1,,Pred
2096,22428,left_only,1,,Pred
2098,22491,left_only,1,,Pred
2113,10453,left_only,1,,Pred
2119,6860,left_only,1,,Pred
2120,10252,left_only,1,,Pred
2129,29489,left_only,1,,Pred
2184,3449,left_only,1,,Pred
2187,27158,left_only,1,,Pred
2200,25715,left_only,1,,Pred
2204,27968,left_only,1,,Pred
2205,1496,left_only,1,,Pred
2206,4307,left_only,1,,Pred
2217,18789,left_only,1,,Pred
2219,24721,left_only,1,,Pred
2223,18003,left_only,1,,Pred
2236,2739,left_only,1,,Pred
2237,5741,left_only,1,,Pred
2239,7961,left_only,1,,Pred
2261,33982,left_only,1,,Pred
2263,7778,left_only,1,,Pred
2286,26672,left_only,1,,Pred
2290,183,left_only,1,,Pred
2298,299,left_only,1,,Pred
2302,19519,left_only,1,,Pred
2303,27606,left_only,1,,Pred
2312,3219,left_only,1,,Pred
2316,9558,left_only,1,,Pred
2326,30452,both,1,1,Both
2350,22178,left_only,1,,Pred
2357,3564,left_only,1,,Pred
2397,9209,left_only,1,,Pred
2398,1414,both,1,1,Both
2401,17548,left_only,1,,Pred
2401,33677,left_only,1,,Pred
2416,10195,left_only,1,,Pred
2417,31714,left_only,1,,Pred
2431,29985,left_only,1,,Pred
2442,27121,left_only,1,,Pred
2446,13045,left_only,1,,Pred
2459,23889,left_only,1,,Pred
2478,15219,left_only,1,,Pred
2491,28554,left_only,1,,Pred
2501,13231,left_only,1,,Pred
2524,21327,left_only,1,,Pred
2529,11793,left_only,1,,Pred
2548,23331,left_only,1,,Pred
2558,16943,left_only,1,,Pred
2568,3271,left_only,1,,Pred
2571,18223,left_only,1,,Pred
2577,12543,left_only,1,,Pred
2616,9532,left_only,1,,Pred
2626,22803,left_only,1,,Pred
2629,12157,left_only,1,,Pred
2646,19423,both,1,1,Both
2646,31284,left_only,1,,Pred
2647,11175,left_only,1,,Pred
2660,17638,left_only,1,,Pred
2668,21603,left_only,1,,Pred
2669,30352,left_only,1,,Pred
2684,19815,left_only,1,,Pred
2700,8165,left_only,1,,Pred
2709,27881,left_only,1,,Pred
2726,4887,left_only,1,,Pred
2742,23100,left_only,1,,Pred
2760,18132,left_only,1,,Pred
2762,23492,left_only,1,,Pred
2767,20107,left_only,1,,Pred
2774,1435,left_only,1,,Pred
2808,34312,left_only,1,,Pred
2813,19042,left_only,1,,Pred
2818,34410,left_only,1,,Pred
2830,28887,left_only,1,,Pred
2834,11666,left_only,1,,Pred
2887,15872,left_only,1,,Pred
2901,4211,left_only,1,,Pred
2914,7583,left_only,1,,Pred
2921,31961,left_only,1,,Pred
2954,9303,left_only,1,,Pred
2955,10209,left_only,1,,Pred
2962,27746,left_only,1,,Pred
2972,4889,left_only,1,,Pred
2972,20131,left_only,1,,Pred
2981,6378,left_only,1,,Pred
2996,12777,left_only,1,,Pred
2996,14838,left_only,1,,Pred
3008,10142,left_only,1,,Pred
3020,12939,left_only,1,,Pred
3022,16022,left_only,1,,Pred
3027,29318,left_only,1,,Pred
3034,10792,left_only,1,,Pred
3045,21641,left_only,1,,Pred
3050,8036,left_only,1,,Pred
3051,15562,left_only,1,,Pred
3059,27870,left_only,1,,Pred
3062,5762,left_only,1,,Pred
3062,11822,left_only,1,,Pred
3068,29185,left_only,1,,Pred
3070,18098,left_only,1,,Pred
3077,8430,left_only,1,,Pred
3085,1583,left_only,1,,Pred
3088,29675,left_only,1,,Pred
3090,27574,left_only,1,,Pred
3101,15796,left_only,1,,Pred
3112,31634,left_only,1,,Pred
3118,22315,left_only,1,,Pred
3131,6847,left_only,1,,Pred
3131,27589,left_only,1,,Pred
3150,19087,left_only,1,,Pred
3206,17333,left_only,1,,Pred
3224,3743,both,1,1,Both
3229,27852,left_only,1,,Pred
3236,2699,left_only,1,,Pred
3254,28241,left_only,1,,Pred
3267,33287,left_only,1,,Pred
3269,34195,left_only,1,,Pred
3273,23879,left_only,1,,Pred
3279,16596,left_only,1,,Pred
3288,32808,left_only,1,,Pred
3290,33776,left_only,1,,Pred
3295,5023,left_only,1,,Pred
3308,33874,left_only,1,,Pred
3315,4760,left_only,1,,Pred
3316,6143,left_only,1,,Pred
3343,449,left_only,1,,Pred
3343,13070,left_only,1,,Pred
3344,34441,left_only,1,,Pred
3346,34126,left_only,1,,Pred
3354,1798,left_only,1,,Pred
3360,33337,left_only,1,,Pred
3370,13113,left_only,1,,Pred
3379,33687,left_only,1,,Pred
3383,13736,left_only,1,,Pred
3384,1675,left_only,1,,Pred
3386,23035,left_only,1,,Pred
3403,9715,left_only,1,,Pred
3407,2020,left_only,1,,Pred
3410,29930,left_only,1,,Pred
3413,33716,left_only,1,,Pred
3415,13614,left_only,1,,Pred
3418,926,left_only,1,,Pred
3419,1684,left_only,1,,Pred
3426,27811,left_only,1,,Pred
3428,24899,left_only,1,,Pred
3442,10575,left_only,1,,Pred
3451,448,left_only,1,,Pred
3451,28925,left_only,1,,Pred
3460,18618,left_only,1,,Pred
3472,33952,left_only,1,,Pred
3480,1966,left_only,1,,Pred
3483,26331,left_only,1,,Pred
3506,16258,left_only,1,,Pred
3508,13614,left_only,1,,Pred
3509,15625,left_only,1,,Pred
3509,31628,left_only,1,,Pred
3516,32951,left_only,1,,Pred
3517,33720,left_only,1,,Pred
3526,25821,left_only,1,,Pred
3550,19478,left_only,1,,Pred
3565,17690,left_only,1,,Pred
3567,17914,left_only,1,,Pred
3568,5907,left_only,1,,Pred
3568,28368,left_only,1,,Pred
3573,8104,left_only,1,,Pred
3581,21770,left_only,1,,Pred
3593,18224,left_only,1,,Pred
3604,9418,left_only,1,,Pred
3605,12486,left_only,1,,Pred
3613,9206,left_only,1,,Pred
3626,33909,left_only,1,,Pred
3628,4974,left_only,1,,Pred
3634,25257,left_only,1,,Pred
3635,3646,left_only,1,,Pred
3635,31264,left_only,1,,Pred
3643,5553,left_only,1,,Pred
3648,10488,left_only,1,,Pred
3668,34519,left_only,1,,Pred
3670,22003,left_only,1,,Pred
3685,12159,left_only,1,,Pred
3685,19185,left_only,1,,Pred
3686,31921,left_only,1,,Pred
3707,8552,left_only,1,,Pred
3712,20812,left_only,1,,Pred
3714,20944,left_only,1,,Pred
3737,22045,left_only,1,,Pred
3776,8905,left_only,1,,Pred
3782,1456,left_only,1,,Pred
3790,1233,left_only,1,,Pred
3793,26846,left_only,1,,Pred
3801,20507,left_only,1,,Pred
3809,27972,left_only,1,,Pred
3819,229,left_only,1,,Pred
3824,13750,left_only,1,,Pred
3835,10480,left_only,1,,Pred
3836,32417,left_only,1,,Pred
3843,12229,left_only,1,,Pred
3862,10665,left_only,1,,Pred
3869,31007,left_only,1,,Pred
3875,4528,left_only,1,,Pred
3888,29109,left_only,1,,Pred
3889,31540,left_only,1,,Pred
3896,16565,left_only,1,,Pred
3901,26302,left_only,1,,Pred
3902,18751,left_only,1,,Pred
3902,30164,left_only,1,,Pred
3903,20690,left_only,1,,Pred
3917,33668,left_only,1,,Pred
3919,12210,left_only,1,,Pred
3920,16196,left_only,1,,Pred
3923,22752,left_only,1,,Pred
3957,7769,left_only,1,,Pred
3957,31719,left_only,1,,Pred
3962,2893,left_only,1,,Pred
3979,3582,left_only,1,,Pred
3983,19207,both,1,1,Both
3997,538,left_only,1,,Pred
4001,20470,left_only,1,,Pred
4011,1623,left_only,1,,Pred
4011,30894,left_only,1,,Pred
4012,25486,left_only,1,,Pred
4031,31288,left_only,1,,Pred
4068,6311,left_only,1,,Pred
4081,23775,left_only,1,,Pred
4081,33478,left_only,1,,Pred
4086,26541,left_only,1,,Pred
4089,15287,left_only,1,,Pred
4120,9379,left_only,1,,Pred
4128,5418,left_only,1,,Pred
4138,6357,left_only,1,,Pred
4146,1183,left_only,1,,Pred
4149,4303,left_only,1,,Pred
4149,25414,left_only,1,,Pred
4156,7971,left_only,1,,Pred
4168,22540,left_only,1,,Pred
4169,31982,left_only,1,,Pred
4182,3353,left_only,1,,Pred
4187,9694,both,1,1,Both
4187,14577,both,1,1,Both
4187,14716,both,1,1,Both
4187,17099,both,1,1,Both
4195,11947,left_only,1,,Pred
4208,1882,left_only,1,,Pred
4213,1052,left_only,1,,Pred
4213,3185,left_only,1,,Pred
4215,3919,left_only,1,,Pred
4236,18126,left_only,1,,Pred
4252,26361,left_only,1,,Pred
4258,18468,left_only,1,,Pred
4268,24632,left_only,1,,Pred
4282,17092,left_only,1,,Pred
4295,32156,left_only,1,,Pred
4296,26283,left_only,1,,Pred
4310,13179,left_only,1,,Pred
4317,11909,left_only,1,,Pred
4320,7543,left_only,1,,Pred
4321,5283,left_only,1,,Pred
4322,15539,left_only,1,,Pred
4332,12597,left_only,1,,Pred
4337,15255,left_only,1,,Pred
4352,21259,left_only,1,,Pred
4373,23566,left_only,1,,Pred
4380,30632,left_only,1,,Pred
4383,3076,left_only,1,,Pred
4383,14624,left_only,1,,Pred
4393,13876,left_only,1,,Pred
4396,11944,left_only,1,,Pred
4399,23455,left_only,1,,Pred
4399,23847,left_only,1,,Pred
4419,10766,both,1,1,Both
4419,24551,both,1,1,Both
4422,31004,left_only,1,,Pred
4434,4149,left_only,1,,Pred
4443,3257,left_only,1,,Pred
4468,18816,left_only,1,,Pred
4477,21443,left_only,1,,Pred
4488,12005,left_only,1,,Pred
4491,5396,both,1,1,Both
4500,3259,left_only,1,,Pred
4508,20066,left_only,1,,Pred
4519,12004,left_only,1,,Pred
4532,29090,left_only,1,,Pred
4536,12013,left_only,1,,Pred
4551,8599,left_only,1,,Pred
4555,23905,left_only,1,,Pred
4558,8402,left_only,1,,Pred
4561,34071,left_only,1,,Pred
4572,2901,left_only,1,,Pred
4572,30219,left_only,1,,Pred
4584,1105,left_only,1,,Pred
4587,17154,left_only,1,,Pred
4588,33414,left_only,1,,Pred
4600,24872,both,1,1,Both
4603,27813,left_only,1,,Pred
4605,19401,left_only,1,,Pred
4605,23821,left_only,1,,Pred
4609,7174,left_only,1,,Pred
4610,4261,left_only,1,,Pred
4615,29577,left_only,1,,Pred
4619,25552,left_only,1,,Pred
4631,3228,left_only,1,,Pred
4632,3002,left_only,1,,Pred
4639,32973,left_only,1,,Pred
4640,3105,left_only,1,,Pred
4642,8061,left_only,1,,Pred
4655,15766,left_only,1,,Pred
4664,9212,left_only,1,,Pred
4668,3099,left_only,1,,Pred
4677,8825,left_only,1,,Pred
4681,13149,left_only,1,,Pred
4683,8715,both,1,1,Both
4705,2133,left_only,1,,Pred
4713,25108,left_only,1,,Pred
4714,5704,left_only,1,,Pred
4724,26866,left_only,1,,Pred
4725,33296,left_only,1,,Pred
4728,13745,left_only,1,,Pred
4731,11470,left_only,1,,Pred
4733,29945,left_only,1,,Pred
4734,624,left_only,1,,Pred
4737,22893,left_only,1,,Pred
4747,2364,left_only,1,,Pred
4754,19631,left_only,1,,Pred
4760,32807,left_only,1,,Pred
4775,4503,left_only,1,,Pred
4775,30515,left_only,1,,Pred
4777,25067,left_only,1,,Pred
4778,16957,left_only,1,,Pred
4795,33461,left_only,1,,Pred
4804,6548,left_only,1,,Pred
4822,20412,left_only,1,,Pred
4834,11230,left_only,1,,Pred
4838,25672,left_only,1,,Pred
4844,17582,left_only,1,,Pred
4845,5121,left_only,1,,Pred
4849,12730,left_only,1,,Pred
4851,26200,left_only,1,,Pred
4853,30548,left_only,1,,Pred
4857,24872,both,1,1,Both
4886,10757,left_only,1,,Pred
4888,9881,left_only,1,,Pred
4910,31490,left_only,1,,Pred
4916,20451,left_only,1,,Pred
4923,12883,left_only,1,,Pred
4929,6658,left_only,1,,Pred
4929,18815,left_only,1,,Pred
4939,18252,left_only,1,,Pred
4941,14770,left_only,1,,Pred
4943,2408,left_only,1,,Pred
4950,31078,left_only,1,,Pred
4953,13914,left_only,1,,Pred
4955,29981,left_only,1,,Pred
4956,5228,left_only,1,,Pred
4957,6549,left_only,1,,Pred
4957,27032,left_only,1,,Pred
4962,12786,left_only,1,,Pred
4968,29745,left_only,1,,Pred
4976,24863,left_only,1,,Pred
4978,24791,left_only,1,,Pred
4994,10534,left_only,1,,Pred
5002,11238,both,1,1,Both
5008,31219,left_only,1,,Pred
5025,28235,left_only,1,,Pred
5034,1402,left_only,1,,Pred
5035,24546,left_only,1,,Pred
5038,18563,left_only,1,,Pred
5043,4464,left_only,1,,Pred
5051,17617,left_only,1,,Pred
5054,25413,left_only,1,,Pred
5073,8580,left_only,1,,Pred
5076,20752,left_only,1,,Pred
5085,2356,left_only,1,,Pred
5089,31820,left_only,1,,Pred
5108,11958,left_only,1,,Pred
5117,23570,left_only,1,,Pred
5123,25332,left_only,1,,Pred
5127,106,left_only,1,,Pred
5138,13085,left_only,1,,Pred
5149,31531,left_only,1,,Pred
5150,236,left_only,1,,Pred
5153,8871,left_only,1,,Pred
5180,33918,left_only,1,,Pred
5189,27119,left_only,1,,Pred
5193,6183,left_only,1,,Pred
5197,639,both,1,1,Both
5197,1909,both,1,1,Both
5198,4200,left_only,1,,Pred
5199,7844,left_only,1,,Pred
5217,10932,left_only,1,,Pred
5230,16217,left_only,1,,Pred
5230,29590,left_only,1,,Pred
5230,32878,left_only,1,,Pred
5258,17746,left_only,1,,Pred
5260,8277,left_only,1,,Pred
5278,9074,left_only,1,,Pred
5280,8935,left_only,1,,Pred
5283,29111,left_only,1,,Pred
5287,19388,left_only,1,,Pred
5289,2158,left_only,1,,Pred
5290,1274,left_only,1,,Pred
5290,6789,left_only,1,,Pred
5298,8210,left_only,1,,Pred
5307,32934,left_only,1,,Pred
5311,26107,left_only,1,,Pred
5315,15630,left_only,1,,Pred
5327,16161,left_only,1,,Pred
5350,6229,left_only,1,,Pred
5363,16726,left_only,1,,Pred
5364,31023,left_only,1,,Pred
5365,16095,left_only,1,,Pred
5371,31255,left_only,1,,Pred
5405,588,left_only,1,,Pred
5409,19959,left_only,1,,Pred
5424,29982,left_only,1,,Pred
5428,33563,left_only,1,,Pred
5432,20576,left_only,1,,Pred
5443,16516,left_only,1,,Pred
5451,24680,left_only,1,,Pred
5457,11991,left_only,1,,Pred
5460,27872,left_only,1,,Pred
5464,27299,left_only,1,,Pred
5465,25305,both,1,1,Both
5465,28610,both,1,1,Both
5470,17364,left_only,1,,Pred
5473,21307,left_only,1,,Pred
5523,22193,left_only,1,,Pred
5533,20082,left_only,1,,Pred
5538,1417,left_only,1,,Pred
5540,32179,left_only,1,,Pred
5554,21414,left_only,1,,Pred
5559,7479,left_only,1,,Pred
5559,18156,left_only,1,,Pred
5563,21459,left_only,1,,Pred
5570,25381,left_only,1,,Pred
5573,3862,left_only,1,,Pred
5576,15870,left_only,1,,Pred
5578,28387,left_only,1,,Pred
5587,10712,left_only,1,,Pred
5609,13003,left_only,1,,Pred
5618,11590,left_only,1,,Pred
5619,8715,both,1,1,Both
5619,26816,both,1,1,Both
5629,30533,left_only,1,,Pred
5630,15142,left_only,1,,Pred
5636,33498,left_only,1,,Pred
5651,22399,left_only,1,,Pred
5675,22086,left_only,1,,Pred
5676,1892,left_only,1,,Pred
5695,7300,both,1,1,Both
5695,18456,both,1,1,Both
5695,25224,left_only,1,,Pred
5695,28009,both,1,1,Both
5697,26680,left_only,1,,Pred
5699,18576,left_only,1,,Pred
5707,13007,left_only,1,,Pred
5721,14291,left_only,1,,Pred
5731,4338,left_only,1,,Pred
5738,25363,left_only,1,,Pred
5742,15853,left_only,1,,Pred
5744,13369,left_only,1,,Pred
5749,33459,left_only,1,,Pred
5758,10222,left_only,1,,Pred
5767,15731,left_only,1,,Pred
5770,17353,left_only,1,,Pred
5771,11349,left_only,1,,Pred
5774,6881,left_only,1,,Pred
5783,11875,both,1,1,Both
5783,25305,both,1,1,Both
5785,18054,left_only,1,,Pred
5791,22747,left_only,1,,Pred
5794,21369,left_only,1,,Pred
5795,10485,left_only,1,,Pred
5796,8,left_only,1,,Pred
5799,24860,left_only,1,,Pred
5800,9008,left_only,1,,Pred
5807,20619,left_only,1,,Pred
5816,30519,left_only,1,,Pred
5818,10028,left_only,1,,Pred
5833,17316,left_only,1,,Pred
5840,16423,left_only,1,,Pred
5844,31437,left_only,1,,Pred
5846,30355,left_only,1,,Pred
5846,30623,left_only,1,,Pred
5847,13128,left_only,1,,Pred
5856,25539,left_only,1,,Pred
5861,11495,left_only,1,,Pred
5863,19062,left_only,1,,Pred
5883,17111,left_only,1,,Pred
5890,13445,left_only,1,,Pred
5908,24437,left_only,1,,Pred
5913,30354,left_only,1,,Pred
5921,7081,left_only,1,,Pred
5932,4213,left_only,1,,Pred
5938,26723,left_only,1,,Pred
5940,7922,both,1,1,Both
5940,8215,both,1,1,Both
5940,31759,both,1,1,Both
5943,19027,left_only,1,,Pred
5944,4917,left_only,1,,Pred
5947,34390,left_only,1,,Pred
5948,10092,left_only,1,,Pred
5953,14185,left_only,1,,Pred
5953,30506,left_only,1,,Pred
5959,26262,left_only,1,,Pred
5961,13656,left_only,1,,Pred
5964,21196,left_only,1,,Pred
5966,9253,left_only,1,,Pred
5968,11140,left_only,1,,Pred
5980,25997,left_only,1,,Pred
5986,21597,left_only,1,,Pred
5989,2389,left_only,1,,Pred
6008,5231,left_only,1,,Pred
6013,22105,left_only,1,,Pred
6024,32912,left_only,1,,Pred
6040,19573,left_only,1,,Pred
6042,23931,left_only,1,,Pred
6063,30540,left_only,1,,Pred
6069,33447,left_only,1,,Pred
6077,28539,left_only,1,,Pred
6093,22797,left_only,1,,Pred
6100,23081,left_only,1,,Pred
6121,12933,both,1,1,Both
6122,23971,left_only,1,,Pred
6123,20468,left_only,1,,Pred
6129,10483,left_only,1,,Pred
6131,12319,left_only,1,,Pred
6162,9838,left_only,1,,Pred
6163,3420,left_only,1,,Pred
6168,19215,left_only,1,,Pred
6174,15542,left_only,1,,Pred
6177,34358,left_only,1,,Pred
6179,7416,left_only,1,,Pred
6180,30388,left_only,1,,Pred
6181,13327,left_only,1,,Pred
6184,28343,left_only,1,,Pred
6185,25966,left_only,1,,Pred
6186,28032,left_only,1,,Pred
6204,26602,left_only,1,,Pred
6218,11589,left_only,1,,Pred
6219,26624,left_only,1,,Pred
6252,16928,left_only,1,,Pred
6267,22065,left_only,1,,Pred
6278,1754,left_only,1,,Pred
6290,10655,left_only,1,,Pred
6292,15878,both,1,1,Both
6292,16833,both,1,1,Both
6293,23153,left_only,1,,Pred
6295,26185,left_only,1,,Pred
6296,24754,left_only,1,,Pred
6303,25350,left_only,1,,Pred
6308,27857,left_only,1,,Pred
6309,33618,left_only,1,,Pred
6312,22215,left_only,1,,Pred
6316,29930,left_only,1,,Pred
6336,4457,left_only,1,,Pred
6347,19499,left_only,1,,Pred
6349,13425,left_only,1,,Pred
6350,28736,left_only,1,,Pred
6353,16920,left_only,1,,Pred
6353,34189,left_only,1,,Pred
6355,9656,left_only,1,,Pred
6359,30713,left_only,1,,Pred
6363,30171,left_only,1,,Pred
6367,24243,left_only,1,,Pred
6369,10329,both,1,1,Both
6369,34499,both,1,1,Both
6370,821,left_only,1,,Pred
6380,5499,left_only,1,,Pred
